dērideō,dēridēre,dērīsī,dērīsum,II,,"mock, scorn, deride",
dērogō,dērogāre,dērogāvī,dērogātum,I,,"diminish, remove, disparage",
dēscrībō,dēscrībere,dēscrīpsī,dēscrīptum,III,,"write down, draw out, describe",
dēsecō,dēsecāre,dēsecāvī,dēsectum,I,,"sever, mow",
dēsideō,dēsidēre,dēsēdī,dēsessum,II,,"sit down, sit idle, remain sitting",
dēsipiō,dēsipere,dēsipuī,,III-i,Active Only,"act foolish, fool around",
dēspectō,dēspectāre,dēspectāvī,dēspectātum,I,,"look over, look down on, despise",
dēstituō,dēstituere,dēstituī,dēstitūtum,III,,"set in position, abandon, forsake",
dēstruō,dēstruere,dēstrūxī,dēstrūctum,III,,"destroy, demolish",
dētestor,dētestārī,dētestātus sum,,I,Deponent,"curse, detest",
dētrahō,dētrahere,dētrāxī,dētractum,III,,"draw down, divert",
deūtor,deūtī,deūsus sum,,III,Deponent,"misuse, pervert",w/ Ablative
dēveniō,dēvenīre,dēvēnī,dēventum,IV,,"arrive, come from",
dēvincō,dēvincere,dēvīcī,dēvictum,III,,"defeat decisively, subdue",
dēvocō,dēvocāre,dēvocāvī,dēvocātum,I,,call downward,
dēvolō,dēvolāre,dēvolāvī,dēvolātum,I,,"fly downward, fly away",
dēvolvō,dēvolvere,dēvolvī,dēvolūtum,III,,"roll down, tumble down",
dīcō,dīcere,dīxī,dīctum,III,,"say, tell","Pres. Act. Imperatives dīc, dīcite"
differō,differre,distulī,dīlātum,Irregular,,"carry different ways, separate",
diffīdō,diffīdere,diffīsus sum,,III,Semi-Deponent,"distrust, lack confidence",
diffringō,diffringere,diffrēgī,diffrāctum,III,,shatter,
diffugiō,diffugere,diffūgī,diffugitum,III-i,,"scatter, disperse",
dīgredior,dīgredī,dīgressus sum,,III-i,Deponent,"go separate ways, deviate, digress",
dīmittō,dīmittere,dīmīsī,dīmīssum,III,,"send away, dismiss",
dīmoveō,dīmovēre,dīmōvī,dīmōtum,II,,"move apart, disperse",
dīnōscō,dīnōscere,dīnōvī,dīnōtum,III,,"discern, distinguish",
dīrigō,dīrigere,dīrēxī,dīrēctum,III,,"lay straight, arrange, direct, steer",
dīripiō,dīripere,dīripuī,dīreptum,III-i,,"tear apart, tear to pieces, plunder",
disco,discere,didicī,discitum,III,,learn,
discutiō,discutere,discussī,discussum,III-i,,"strike down, shatter, break down, discuss",
disiungō,disiungere,disiunxī,disiunctum,III,,"disjoin, separate, unyoke",
